00A731A4 0020 CAnimationPlayerDescriptor: CPositionableObjectDescriptor, CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                            
00A734D4 0020 CCameraControllerDescriptor: CPositionableObjectDescriptor, CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                           
00A73B94 0019 CCounterDescriptor: CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                                   
00A73EAC 0019 CSkipCutsceneDescriptor: CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                              
00A73F1C 0019 CDungeonObjectDescriptor: CPositionableObjectDescriptor, CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                              
00A73FA4 0020 CGameStateControllerDescriptor: CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                       
00A7443C 0020 CLogicTimerDescriptor: CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                                
00A744F4 0019 COutputIncrementorDescriptor: CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                         
00A74664 0020 CPuzzleRandomizerDescriptor: CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                          
00A74714 0019 CQuestControllerDescriptor: CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                           
00A748DC 0019 CRandomChoiceDescriptor: CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                              
00A74B94 0019 CSkillControllerDescriptor: CPositionableObjectDescriptor, CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                            
00A74F54 0020 CTeleportDescriptor: CPositionableObjectDescriptor, CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                   
00A75014 0019 CTriggerBoxDescriptor: CTriggerDescriptor, CPositionableObjectDescriptor, CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                             
00A750AC 0019 CTriggerDescriptor: CPositionableObjectDescriptor, CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                    
00A75104 0019 CTriggerSphereDescriptor: CTriggerDescriptor, CPositionableObjectDescriptor, CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                          
00A7519C 0011 CUnitTriggerDescriptor: CPositionableObjectDescriptor, CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                
00A75634 0019 CWarperDescriptor: CPositionableObjectDescriptor, CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                     
00A756DC 0019 CWaypointActivatorDescriptor: CPositionableObjectDescriptor, CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                          
00A75734 0020 CParticleEmitterWrapperDescriptor: CPositionableObjectDescriptor, CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                     
00A768BC 0020 CParticleTechWrapperDescriptor: CPositionableObjectDescriptor, CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                        
00A77554 0020 CAffectorDescriptor: CPositionableObjectDescriptor, CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                   
